dataset,stratum,detectable_specs,false_negative_rate,false_positive_rate,mean_detection_rate,simulation_q025,simulation_q975,skill_family_random_expected_rate,mean_absolute_lift,proportion_simulations_with_positive_lift
r23_deletion_confirmation,scienceworld,35,0.0,0.05,0.9971428571428578,0.9714285714285713,1.0,0.48362244897959195,0.5135204081632658,1.0
r23_deletion_confirmation,scienceworld,35,0.0,0.1,0.9828000000000013,0.9428571428571428,1.0,0.48362244897959195,0.4991775510204094,1.0
r23_deletion_confirmation,scienceworld,35,0.0,0.2,0.9206285714285687,0.8285714285714286,1.0,0.48362244897959195,0.43700612244897674,1.0
r23_deletion_confirmation,scienceworld,35,0.1,0.0,0.9904571428571441,0.9428571428571428,1.0,0.48362244897959195,0.5068346938775522,1.0
r23_deletion_confirmation,scienceworld,35,0.1,0.05,0.985085714285716,0.9428571428571428,1.0,0.48362244897959195,0.5014632653061241,1.0
r23_deletion_confirmation,scienceworld,35,0.1,0.1,0.966514285714287,0.8857142857142857,1.0,0.48362244897959195,0.48289183673469505,1.0
r23_deletion_confirmation,scienceworld,35,0.1,0.2,0.8969714285714254,0.8,0.9714285714285714,0.48362244897959195,0.4133489795918335,1.0
r23_deletion_confirmation,scienceworld,35,0.2,0.0,0.9773714285714296,0.9142857142857143,1.0,0.48362244897959195,0.4937489795918376,1.0
r23_deletion_confirmation,scienceworld,35,0.2,0.05,0.9688000000000001,0.9142857142857143,1.0,0.48362244897959195,0.48517755102040816,1.0
r23_deletion_confirmation,scienceworld,35,0.2,0.1,0.9457142857142835,0.8571428571428571,1.0,0.48362244897959195,0.46209183673469156,1.0
r23_deletion_confirmation,scienceworld,35,0.2,0.2,0.8699999999999964,0.7714285714285715,0.9714285714285714,0.48362244897959195,0.3863775510204045,1.0
r23_deletion_confirmation,scienceworld,35,0.3,0.0,0.9597714285714276,0.8857142857142857,1.0,0.48362244897959195,0.47614897959183566,1.0
r23_deletion_confirmation,scienceworld,35,0.3,0.05,0.9473714285714273,0.8857142857142857,1.0,0.48362244897959195,0.46374897959183536,1.0
r23_deletion_confirmation,scienceworld,35,0.3,0.1,0.9190857142857122,0.8285714285714286,1.0,0.48362244897959195,0.43546326530612023,1.0
r23_deletion_confirmation,scienceworld,35,0.3,0.2,0.8341142857142836,0.7142857142857143,0.9428571428571428,0.48362244897959195,0.35049183673469164,1.0
r23_deletion_confirmation,scienceworld,35,0.5,0.0,0.8999999999999975,0.8,0.9714285714285714,0.48362244897959195,0.4163775510204055,1.0
r23_deletion_confirmation,scienceworld,35,0.5,0.05,0.8785714285714258,0.7714285714285715,0.9714285714285714,0.48362244897959195,0.39494897959183384,1.0
r23_deletion_confirmation,scienceworld,35,0.5,0.1,0.8399428571428549,0.7142857142857143,0.9428571428571428,0.48362244897959195,0.35632040816326294,1.0
r23_deletion_confirmation,scienceworld,35,0.5,0.2,0.737599999999999,0.6,0.8571428571428571,0.48362244897959195,0.2539775510204071,1.0
r24_operator_transfer,overall,115,0.0,0.0,1.0,1.0,1.0,0.556721104981974,0.443278895018026,1.0
r24_operator_transfer,overall,115,0.0,0.05,0.997513043478261,0.9826086956521739,1.0,0.556721104981974,0.44079193849628695,1.0
r24_operator_transfer,overall,115,0.0,0.1,0.9844869565217399,0.9565217391304348,1.0,0.556721104981974,0.4277658515397659,1.0
r24_operator_transfer,overall,115,0.0,0.2,0.9288347826086991,0.8869565217391304,0.9652173913043478,0.556721104981974,0.3721136776267251,1.0
r24_operator_transfer,overall,115,0.1,0.0,0.9740869565217405,0.9432608695652174,1.0,0.556721104981974,0.41736585153976646,1.0
r24_operator_transfer,overall,115,0.1,0.05,0.9709391304347842,0.9391304347826087,1.0,0.556721104981974,0.41421802545281017,1.0
r24_operator_transfer,overall,115,0.1,0.1,0.9576521739130457,0.9217391304347826,0.991304347826087,0.556721104981974,0.40093106893107167,1.0
r24_operator_transfer,overall,115,0.1,0.2,0.9014434782608739,0.8521739130434782,0.9478260869565217,0.556721104981974,0.3447223732788999,1.0
r24_operator_transfer,overall,115,0.2,0.0,0.943478260869568,0.9043478260869565,0.978478260869565,0.556721104981974,0.38675715588759396,1.0
r24_operator_transfer,overall,115,0.2,0.05,0.939686956521742,0.8956521739130435,0.9739130434782609,0.556721104981974,0.3829658515397679,1.0
r24_operator_transfer,overall,115,0.2,0.1,0.9257565217391338,0.8782608695652174,0.9652173913043478,0.556721104981974,0.3690354167571598,1.0
r24_operator_transfer,overall,115,0.2,0.2,0.8701913043478312,0.8173913043478261,0.9217391304347826,0.556721104981974,0.3134701993658572,1.0
r24_operator_transfer,overall,115,0.3,0.0,0.907217391304352,0.8521739130434782,0.9565217391304348,0.556721104981974,0.35049628632237795,1.0
r24_operator_transfer,overall,115,0.3,0.05,0.9023826086956565,0.8521739130434782,0.9478260869565217,0.556721104981974,0.3456615037136824,1.0
r24_operator_transfer,overall,115,0.3,0.1,0.8882782608695698,0.8434782608695652,0.9391304347826087,0.556721104981974,0.3315571558875958,1.0
r24_operator_transfer,overall,115,0.3,0.2,0.8313565217391365,0.7739130434782608,0.8869565217391304,0.556721104981974,0.2746354167571625,1.0
r24_operator_transfer,overall,115,0.5,0.0,0.8173217391304411,0.7565217391304347,0.8695652173913043,0.556721104981974,0.2606006341484671,1.0
r24_operator_transfer,overall,115,0.5,0.05,0.8100000000000066,0.7478260869565218,0.8695652173913043,0.556721104981974,0.2532788950180326,1.0
r24_operator_transfer,overall,115,0.5,0.1,0.7934434782608764,0.7304347826086957,0.8521739130434782,0.556721104981974,0.23672237327890233,1.0
r24_operator_transfer,overall,115,0.5,0.2,0.7358434782608727,0.665,0.8,0.556721104981974,0.17912237327889868,1.0
r24_operator_transfer,alfworld,60,0.0,0.0,1.0,1.0,1.0,0.6404578754578752,0.35954212454212475,1.0
r24_operator_transfer,alfworld,60,0.0,0.05,0.9976333333333341,0.9833333333333332,1.0,0.6404578754578752,0.3571754578754589,1.0
r24_operator_transfer,alfworld,60,0.0,0.1,0.9847333333333332,0.95,1.0,0.6404578754578752,0.344275457875458,1.0
r24_operator_transfer,alfworld,60,0.0,0.2,0.9326333333333311,0.8833333333333333,0.9833333333333332,0.6404578754578752,0.29217545787545585,1.0
r24_operator_transfer,alfworld,60,0.1,0.0,0.9766333333333317,0.9333333333333333,1.0,0.6404578754578752,0.33617545787545644,1.0
r24_operator_transfer,alfworld,60,0.1,0.05,0.9733333333333307,0.9333333333333333,1.0,0.6404578754578752,0.33287545787545547,1.0
r24_operator_transfer,alfworld,60,0.1,0.1,0.9600999999999961,0.9166666666666666,1.0,0.6404578754578752,0.3196421245421208,1.0
r24_operator_transfer,alfworld,60,0.1,0.2,0.9084999999999988,0.85,0.9666666666666668,0.6404578754578752,0.2680421245421235,1.0
r24_operator_transfer,alfworld,60,0.2,0.0,0.949299999999996,0.9,1.0,0.6404578754578752,0.3088421245421208,1.0
r24_operator_transfer,alfworld,60,0.2,0.05,0.9451333333333297,0.8833333333333333,0.9833333333333332,0.6404578754578752,0.30467545787545447,1.0
r24_operator_transfer,alfworld,60,0.2,0.1,0.9315333333333311,0.8666666666666667,0.9833333333333332,0.6404578754578752,0.29107545787545586,1.0
r24_operator_transfer,alfworld,60,0.2,0.2,0.8806666666666665,0.8,0.95,0.6404578754578752,0.24020879120879124,1.0
r24_operator_transfer,alfworld,60,0.3,0.0,0.9169999999999986,0.85,0.9666666666666668,0.6404578754578752,0.27654212454212335,1.0
r24_operator_transfer,alfworld,60,0.3,0.05,0.9117333333333324,0.85,0.9666666666666668,0.6404578754578752,0.27127545787545715,1.0
r24_operator_transfer,alfworld,60,0.3,0.1,0.8982000000000006,0.8245833333333334,0.9666666666666668,0.6404578754578752,0.2577421245421253,1.0
r24_operator_transfer,alfworld,60,0.3,0.2,0.847366666666667,0.7666666666666667,0.9166666666666666,0.6404578754578752,0.2069087912087918,1.0
r24_operator_transfer,alfworld,60,0.5,0.0,0.8398000000000011,0.7666666666666667,0.9166666666666666,0.6404578754578752,0.19934212454212585,1.0
r24_operator_transfer,alfworld,60,0.5,0.05,0.8325333333333347,0.75,0.9,0.6404578754578752,0.19207545787545943,1.0
r24_operator_transfer,alfworld,60,0.5,0.1,0.8179333333333348,0.7333333333333333,0.9,0.6404578754578752,0.1774754578754596,1.0
r24_operator_transfer,alfworld,60,0.5,0.2,0.7680666666666668,0.6833333333333333,0.85,0.6404578754578752,0.12760879120879154,0.998
r24_operator_transfer,scienceworld,55,0.0,0.0,1.0,1.0,1.0,0.46537190082644614,0.5346280991735539,1.0
r24_operator_transfer,scienceworld,55,0.0,0.05,0.997381818181819,0.9818181818181818,1.0,0.46537190082644614,0.532009917355373,1.0
r24_operator_transfer,scienceworld,55,0.0,0.1,0.9842181818181827,0.9454545454545454,1.0,0.46537190082644614,0.5188462809917365,1.0
r24_operator_transfer,scienceworld,55,0.0,0.2,0.9246909090909112,0.8545454545454545,0.9818181818181817,0.46537190082644614,0.4593190082644651,1.0
r24_operator_transfer,scienceworld,55,0.1,0.0,0.9713090909090898,0.9272727272727272,1.0,0.46537190082644614,0.5059371900826437,1.0
r24_operator_transfer,scienceworld,55,0.1,0.05,0.9683272727272715,0.9272727272727272,1.0,0.46537190082644614,0.5029553719008253,1.0
r24_operator_transfer,scienceworld,55,0.1,0.1,0.9549818181818165,0.8909090909090909,1.0,0.46537190082644614,0.48960991735537035,1.0
r24_operator_transfer,scienceworld,55,0.1,0.2,0.8937454545454565,0.8181818181818182,0.9636363636363636,0.46537190082644614,0.42837355371901037,1.0
r24_operator_transfer,scienceworld,55,0.2,0.0,0.9371272727272737,0.8727272727272727,0.9818181818181817,0.46537190082644614,0.47175537190082756,1.0
r24_operator_transfer,scienceworld,55,0.2,0.05,0.9337454545454551,0.8727272727272727,0.9818181818181817,0.46537190082644614,0.46837355371900896,1.0
r24_operator_transfer,scienceworld,55,0.2,0.1,0.919454545454547,0.8545454545454545,0.9818181818181817,0.46537190082644614,0.45408264462810083,1.0
r24_operator_transfer,scienceworld,55,0.2,0.2,0.8587636363636373,0.7818181818181819,0.9454545454545454,0.46537190082644614,0.39339173553719115,1.0
r24_operator_transfer,scienceworld,55,0.3,0.0,0.8965454545454564,0.8181818181818182,0.9636363636363636,0.46537190082644614,0.4311735537190103,1.0
r24_operator_transfer,scienceworld,55,0.3,0.05,0.8921818181818199,0.8086363636363637,0.9636363636363636,0.46537190082644614,0.4268099173553737,1.0
r24_operator_transfer,scienceworld,55,0.3,0.1,0.8774545454545476,0.8,0.9454545454545454,0.46537190082644614,0.41208264462810146,1.0
r24_operator_transfer,scienceworld,55,0.3,0.2,0.8138909090909103,0.7272727272727273,0.9090909090909091,0.46537190082644614,0.3485190082644642,1.0
r24_operator_transfer,scienceworld,55,0.5,0.0,0.7928000000000012,0.7090909090909091,0.8727272727272727,0.46537190082644614,0.32742809917355503,1.0
r24_operator_transfer,scienceworld,55,0.5,0.05,0.7854181818181832,0.6909090909090909,0.8727272727272727,0.46537190082644614,0.3200462809917371,1.0
r24_operator_transfer,scienceworld,55,0.5,0.1,0.7667272727272741,0.6727272727272727,0.8545454545454545,0.46537190082644614,0.301355371900828,1.0
r24_operator_transfer,scienceworld,55,0.5,0.2,0.7006909090909091,0.6,0.8,0.46537190082644614,0.235319008264463,1.0
